Name,Team,batter,season,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BIP%,wOBA,wRC+,WAR,age_bat_median,K_BB_ratio,contact_rate
Unknown_461314,LAD,461314,2018,151,517,473,137,26,0,21,36,117,1,7,0.29,0.5391566265060243,0.5619223659889094,0.814,0.47229551451187335,0.6119402985074628,0.29356943150046594,0.4467483506126296,0.7021,0.363,0.5681544028950543,0.3466666666666667,34.0,0.05292713110916433,0.5532516493873705
Unknown_429665,CLE,429665,2018,140,590,510,124,16,1,32,65,136,8,7,0.243,0.5301204819277109,0.5415896487985215,0.801,0.5672823218997362,0.3880597014925373,0.48275862068965525,0.45664467483506127,0.6458,0.363,0.5681544028950543,0.38,35.0,0.030478887254807296,0.5433553251649386
Unknown_500871,MIN,500871,2018,150,631,566,154,48,3,23,52,126,5,8,0.272,0.5301204819277109,0.5822550831792976,0.824,0.5488126649076517,0.5194029850746269,0.353215284249767,0.38407163053722904,0.71,0.363,0.5681544028950543,0.3933333333333333,29.0,0.036902831612379346,0.6159283694627711
Unknown_571771,LAD,571771,2018,151,485,420,105,17,3,22,55,83,1,5,0.25,0.533132530120482,0.5323475046210722,0.797,0.5356200527704486,0.37313432835820903,0.4976700838769804,0.3166823751178134,0.7052,0.362,0.5653397667872939,0.33333333333333337,27.0,0.01919784885934201,0.6833176248821866
Unknown_657656,ATH,657656,2018,47,180,159,45,12,1,5,17,52,2,2,0.283,0.5963855421686747,0.5378927911275417,0.821,0.4564643799472295,0.7492537313432835,0.4091332712022367,0.5942507068803016,0.6056,0.362,0.5653397667872939,0.21333333333333335,24.0,0.049229154413803926,0.40574929311969865
Unknown_572039,ATH,572039,2018,151,609,549,146,41,0,27,43,116,12,5,0.266,0.5180722891566266,0.5804066543438078,0.818,0.5620052770448548,0.4656716417910447,0.2982292637465051,0.3623939679547597,0.7192,0.362,0.5653397667872939,0.38,27.0,0.04222088776169617,0.6376060320452404
Unknown_475253,TOR,475253,2018,143,594,505,122,34,0,25,83,156,3,3,0.242,0.5783132530120482,0.5231053604436231,0.808,0.546174142480211,0.4865671641791045,0.6202236719478098,0.5322808671065032,0.5926,0.362,0.5653397667872939,0.37333333333333335,32.0,0.026377274229118425,0.46771913289349687
Unknown_457708,LAA,457708,2018,145,613,533,137,18,1,30,64,176,10,6,0.257,0.5602409638554217,0.534195933456562,0.808,0.5197889182058048,0.5582089552238807,0.45573159366262816,0.5900094250706881,0.5922,0.362,0.5653397667872939,0.3866666666666667,31.0,0.043221562549586735,0.409990574929312
Unknown_641355,LAD,641355,2018,167,657,578,146,28,7,25,73,156,3,3,0.253,0.5421686746987954,0.5194085027726434,0.793,0.5092348284960422,0.5014925373134328,0.4869524697110904,0.47290292177191334,0.6469,0.361,0.5625251306795336,0.4,23.0,0.03135302383533898,0.5270970782280866
Unknown_593160,KC,593160,2018,158,707,632,192,43,3,12,61,114,6,6,0.304,0.6295180722891566,0.4879852125693162,0.806,0.32981530343007914,0.6507462686567164,0.37138863000931965,0.2933553251649388,0.7412,0.361,0.5625251306795336,0.42000000000000004,29.0,0.026148111869706822,0.7066446748350612
Unknown_543257,MIN,543257,2018,128,465,396,108,27,1,5,60,83,2,5,0.273,0.6295180722891566,0.38817005545286515,0.751,0.26912928759894456,0.5820895522388061,0.570363466915191,0.3341187558906692,0.6839,0.361,0.5625251306795336,0.32000000000000006,29.0,0.016776523674320025,0.6658812441093309
Unknown_516782,PIT,516782,2018,145,606,559,155,32,5,20,35,109,8,3,0.277,0.5090361445783133,0.5286506469500927,0.787,0.4564643799472295,0.5313432835820896,0.2385834109972041,0.3374175306314798,0.7475,0.36,0.5601125854443103,0.37333333333333335,30.0,0.050237100581180354,0.6625824693685203
Unknown_624428,PIT,624428,2018,112,352,318,88,23,2,10,29,53,3,1,0.277,0.5542168674698796,0.5212569316081332,0.798,0.4485488126649076,0.5104477611940299,0.353215284249767,0.26837888784165886,0.7557,0.36,0.5601125854443103,0.2733333333333333,27.0,0.025369385924019383,0.7316211121583411
